max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
50,BeH2,0.6538461538461539,1,guided_fourier_robust,50,9,59.0,-14.605536262642442,-14.66180850553618,0.05627224289373878,1.3042480796018214,True
50,BeH2,0.6538461538461539,2,default,50,0,50.0,-14.016011481107906,-14.66180850553618,0.6457970244282745,0.0,
50,BeH2,0.6538461538461539,2,guided_fourier_robust,50,9,59.0,-14.606688083940835,-14.66180850553618,0.0551204215953458,1.2742327816247347,True
50,BeH2,0.8076923076923077,0,default,50,0,50.0,-14.778759805924347,-15.173426007815959,0.39466620189161183,0.0,
50,BeH2,0.8076923076923077,0,guided_fourier_robust,50,9,59.0,-15.111088363705584,-15.173426007815959,0.06233764411037512,0.7920539165702319,True
50,BeH2,0.8076923076923077,1,default,50,0,50.0,-15.100050135260918,-15.173426007815959,0.07337587255504019,0.0,
50,BeH2,0.8076923076923077,1,guided_fourier_robust,50,9,59.0,-15.116579130280826,-15.173426007815959,0.056846877535132734,1.2474428721059168,True
50,BeH2,0.8076923076923077,2,default,50,0,50.0,-14.476194887416057,-15.173426007815959,0.697231120399902,0.0,
50,BeH2,0.8076923076923077,2,guided_fourier_robust,50,9,59.0,-15.07513759624017,-15.173426007815959,0.09828841157578871,1.2323996543602351,True
50,BeH2,0.9615384615384616,0,default,50,0,50.0,-15.121060216451578,-15.42520181755472,0.3041416011031419,0.0,
50,BeH2,0.9615384615384616,0,guided_fourier_robust,50,9,59.0,-15.369942174861585,-15.42520181755472,0.05525964269313555,0.8079901337705446,True
50,BeH2,0.9615384615384616,1,default,50,0,50.0,-15.349768777970253,-15.42520181755472,0.07543303958446756,0.0,
50,BeH2,0.9615384615384616,1,guided_fourier_robust,50,9,59.0,-15.369059936674415,-15.42520181755472,0.056141880880305806,1.1849893553939725,True
50,BeH2,0.9615384615384616,2,default,50,0,50.0,-14.729838584433676,-15.42520181755472,0.6953632331210446,0.0,
50,BeH2,0.9615384615384616,2,guided_fourier_robust,50,9,59.0,-15.358373667518759,-15.42520181755472,0.06682815003596154,1.1791818660290425,True
50,H2,0.5,0,default,37,0,37.0,-1.0551597937918673,-1.055159794470623,6.787557182974524e-10,0.0,
50,H2,0.5,0,guided_fourier_robust,32,9,41.0,-1.0551597932570769,-1.055159794470623,1.2135461524565017e-09,1.1783227709084816,True
50,H2,0.5,1,default,37,0,37.0,-1.055159791154989,-1.055159794470623,3.315633989586786e-09,0.0,
50,H2,0.5,1,guided_fourier_robust,36,9,45.0,-1.055159793080824,-1.055159794470623,1.3897989425970536e-09,1.1783227709084816,True
50,H2,0.5,2,default,31,0,31.0,-1.0551597944706133,-1.055159794470623,9.769962616701378e-15,0.0,
50,H2,0.5,2,guided_fourier_robust,39,9,48.0,-1.0551597944403561,-1.055159794470623,3.026690009733102e-11,1.1783227709084816,True
50,H2,0.6538461538461539,0,default,35,0,35.0,-1.1306196124527421,-1.1306196124696388,1.6896706256375182e-11,0.0,
