molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.55245898295517,-15.55823698842795,CASCI,-15.55823698842795,0.005778005472780734,3.6257504362191657,False,-3.8138504129910236,900,True,,,8,61,-11.738608569964146,0.36164029099927575,12.043314139999893,12.407332441999642
BeH2,statevector,,,,sto-3g,1.4,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.354955486908114,-15.55823698842795,CASCI,-15.55823698842795,0.20328150151983593,127.56097173721072,False,-3.616346916943976,200,True,,,8,61,-11.738608569964137,0.3972485439999218,2.2698901819994717,2.6698583370007327
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.031167430348201,-15.55823698842795,CASCI,-15.55823698842795,0.5270695580797486,330.740891321065,False,-3.292558860384077,100,True,,,8,61,-11.738608569964125,0.35855004099994403,1.4910618290005004,1.8525121619995844
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.552446219153282,-15.55823698842795,CASCI,-15.55823698842795,0.0057907692746681505,3.6337598367777364,False,-3.81383764918915,1289,True,,,8,61,-11.738608569964132,0.3314504850004596,17.92791832199964,18.26224842800002
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.297104851495563,-15.55823698842795,CASCI,-15.55823698842795,0.2611321369323871,163.86276611430532,False,-3.558496281531422,200,True,,,8,61,-11.738608569964141,0.40080577000026096,2.4079626929997175,2.8118049180002345
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.043933210440743,-15.55823698842795,CASCI,-15.55823698842795,0.5143037779872071,322.7302494209743,False,-3.3053246404766146,100,True,,,8,61,-11.738608569964128,0.4264464959996985,1.6424174249996213,2.072339304999332
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.552458985504861,-15.55823698842795,CASCI,-15.55823698842795,0.005778002923088721,3.62574883626448,False,-3.8138504155407293,1128,True,,,8,61,-11.738608569964132,0.3545979629998328,17.49052794399995,17.848395051000807
BeH2,statevector,,,,sto-3g,1.4,jw,efficient_su2,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.263821034520436,-15.55823698842795,CASCI,-15.55823698842795,0.29441595390751374,184.74866082055004,False,-3.5252124645563088,200,True,,,8,61,-11.738608569964128,0.3730256669996379,3.130433195000478,3.5072852289995353
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.23622621677751,-15.476334003436163,CASCI,-15.476334003436163,0.24010778665865296,150.66979709838466,False,-3.197240342232097,100,True,,,8,61,-12.038985874545412,0.3726720380000188,1.2647978220002187,1.6396300189999238
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.36425143345528,-15.476334003436163,CASCI,-15.476334003436163,0.11208256998088295,70.33282140613389,False,-3.3252655589098747,855,True,,,8,61,-12.038985874545405,0.37048672799937776,8.589114420999977,8.961743269999715
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.370345195740224,-15.476334003436163,CASCI,-15.476334003436163,0.10598880769593855,66.5089307284707,False,-3.3313593211948165,200,True,,,8,61,-12.038985874545409,0.37666206499943655,2.1332170670002597,2.512058307999723
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.088472339307751,-15.476334003436163,CASCI,-15.476334003436163,0.38786166412841183,243.38668499555558,False,-3.0494864647623494,100,True,,,8,61,-12.038985874545402,0.3277688269999999,1.3265431769996212,1.656906510999761
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.47061725913322,-15.476334003436163,CASCI,-15.476334003436163,0.005716744302942445,3.5873085007951104,False,-3.4316313845878073,701,True,,,8,61,-12.038985874545412,0.35302972400040744,8.737237102000108,9.092539985000258
BeH2,statevector,,,,sto-3g,1.7,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.249638187526461,-15.476334003436163,CASCI,-15.476334003436163,0.2266958159097019,142.25366474568114,False,-3.210652312981053,200,True,,,8,61,-12.038985874545409,0.3511393409999073,2.519322127000123,2.872910239000703
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-14.949292557473031,-15.476334003436163,CASCI,-15.476334003436163,0.5270414459631318,330.72325071487893,False,-2.9103066829276227,100,True,,,8,61,-12.038985874545409,0.40427699199972267,1.4840104929999143,1.8912050940007248
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.470605229770847,-15.476334003436163,CASCI,-15.476334003436163,0.005728773665316211,3.5948570339489105,False,-3.4316193552254375,1492,True,,,8,61,-12.038985874545409,0.3114348130002327,20.741209196000455,21.0556632859998
BeH2,statevector,,,,sto-3g,1.7,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-15.439329998745121,-15.476334003436163,CASCI,-15.476334003436163,0.037004004691041814,23.22034597967096,False,-3.4003441241996994,200,True,,,8,61,-12.038985874545421,0.35780435600008786,2.944853454000622,3.305978364999646
